# V33a identity catalog: id, section, tier, kind, icon source type/id, progression, exact title
INTRO	info		parent	info	intro		Introduction
START	info	entry	page	info	start		Getting Started
LEXICON	info	entry	page	tool	help		The Lexicon
ENERGY	info	energy	page	info	energy	ALLCOLORS,CHARGE	Crystal Energy
ELEMENTS	info	basiccraft	page	tool	elemental	ALLCOLORS	Crystal Elements
CRYSTALS	info	entry	page	block	crystal	CRYSTALS	Crystals
PYLONS	info	entry	page	machine	pylon	PYLON	Pylons
STRUCTURES	info	rawexplore	page	block	pylonstruct		Scattered Structures
TRANSMISSION	info	energy	page	info	transmission		Signal Transmission
CRAFTING	info	basiccraft	page	machine	table		Casting
ENCHANTS	info	basiccraft	page	machine	enchanter		Enchantments
CRAFTING2	info	runecraft	page	machine	table	RUNEUSE	Casting II
BALLLIGHTNING	info	energy	page	info	balllightning	BALLLIGHTNING	Ball Lightning
APIRECIPES	info	basiccraft	page	info	apirecipes		Other Recipes
LEYLINES	info	networking	page	machine	repeater	REPEATER	Ley Lines
USINGRUNES	info	runecraft	page	block	rune	RUNEUSE	Crafting With Runes
DIMENSION	info	endgame	page	block	portal	@DIMENSION	Another World
DIMENSION2	info	endgame	page	block	glowsapling	DIMENSION	A Volatile World
FARLANDS	info	endgame	page	info	farlands	FARLANDS	The Far Regions
TURBO	info	endgame	page	info	turbo	@TURBOCHARGE	Turbocharging
TURBOREPEATER	info	endgame	page	info	turborepeater	TURBOCHARGE	Repeater Turbocharging
TURBOREPEATER2	info	ctm	page	info	turborepeater2	TURBOCHARGE	Maximized Networking
PACKCHANGES	info	entry	page	info	packchanges		Modpack Changes
NODENET	info	ctm	page	info	nodenet	CTM	Networking Aura Nodes
SELFCHARGE	info	energy	page	tool	tool	CHARGE	Energy Internalization
MYSTPAGE	info	rawexplore	page	info	mystpage		World Authoring
ENCHANTING	info	multicraft	page	info	enchanting	MULTIBLOCK	Crystal Enchanting
STRUCTUREPASSWORDS	info	endgame	page	block	dimdata	STRUCTCOMPLETE	Structure Keys
DIMTUNING	info	endgame	page	info	dimtuning	DIMENSION	Portal Tuning
ABILITIES	info	energy	page	machine	ritual		Abilities
CASTTUNING	info	networking	page	info	casttuning	@TUNECAST	Personalized Casting
MULTIBLOCKS	info	basiccraft	page	info	multiblocks		Functional Construction
PYLONLINK	info	energy	page	machine	pylonlink	PYLONLINK	Interconnected Energy
ITEMBURNER	info	energy	page	info	itemburner	CHARGE,ALLCOLORS	Item Decomposition
MONUMENT	info	ctm	page	machine	aurapoint	CTM	Construction Restoration
MUD	info	rawexplore	page	block	mud	MUDHINT	Magical Residue
ITEMCHARGE	info	basiccraft	page	info	itemcharge	CHARGE	Passive Charging
ITEMBUFFERLINK	info	pyloncraft	page	info	itembufferlink	CHARGE	Lumen Buffer Connection
SKYPEATER	info	energy	page	machine	skypeater	GLOWCLIFFS	Lumen Node
FRAGMENTSELECT	info	basiccraft	page	info	fragmentselect	CHROMA	Fragment Decoding
MACHINEDESC	machines		parent	machine	machinedesc		Constructs
REPEATER	machines	networking	page	machine	repeater	BLOWREPEATER	Crystal Repeater
GUARDIAN	machines	pyloncraft	page	machine	guardian		Guardian Stone
REPROGRAMMER	machines	pyloncraft	page	machine	reprogrammer		Spawner Reprogrammer
ACCEL	machines	endgame	page	machine	adjacency		Tile Accelerator
RIFT	machines	pyloncraft	page	machine	rift		World Rift
TANK	machines	pyloncraft	page	machine	tank	OCEAN	Crystal Tank Controller
COMPOUND	machines	networking	page	machine	compound	REPEATER	Multi-Aura Repeater
CHARGER	machines	multicraft	page	machine	charger	STORAGE	Storage Crystal Charger
LILY	machines	runecraft	page	machine	heatlily		Heat Lily
TICKER	machines	multicraft	page	machine	ticker		Inventory Simulator
FENCE	machines	multicraft	page	machine	fence		Lumen Fence Emitter
FURNACE	machines	pyloncraft	page	machine	furnace	MINE	Crystal Furnace
TELEPUMP	machines	pyloncraft	page	machine	telepump		Teleportation Pump
MINER	machines	ctm	page	machine	miner	MINE,FARLANDS	Mineral Extractor
ITEMSTAND	machines	runecraft	page	machine	stand		Item Casting Stand
LASER	machines	pyloncraft	page	machine	laser		Crystal Laser
ITEMRIFT	machines	energy	page	machine	itemrift		Item Rift
CRYSTAL	machines	endgame	page	machine	crystal		Power Crystal
INFUSER	machines	multicraft	page	machine	infuser		Infusion Stand
FABRICATOR	machines	pyloncraft	page	machine	fabricator		Item Fabricator
ENCHANTER	machines	runecraft	page	machine	enchanter		Chromatic Enchanter
CHROMAFLOWER	machines	basiccraft	page	machine	chromaflower		Chromatic Flower
COLLECTOR	machines	basiccraft	page	machine	collector		Chroma Collector
BREWER	machines	basiccraft	page	machine	brewer	POTION	Crystal Brewery
RITUALTABLE	machines	energy	page	machine	ritual		Ritual Table
CASTTABLE	machines	entry	page	machine	table		Casting Table
BEACON	machines	endgame	page	machine	beacon		Protection Beacon
ITEMCOLLECTOR	machines	pyloncraft	page	machine	itemcollector		Item Collector
AISHUTDOWN	machines	multicraft	page	machine	aishutdown		chroma.aishutdown
ASPECT	machines	energy	page	machine	aspect	NODE	Aspect Former
LAMP	machines	energy	page	machine	lamp		Elemental Lamp
POWERTREE	machines	endgame	page	machine	powertree	POWERCRYSTAL	Luminescent Battery
LAMPCONTROL	machines	runecraft	page	machine	lampcontrol		Lumen Lamp Controller
BIOMEPAINT	machines	endgame	page	machine	biomepainter	RAINBOWFOREST	Biome Painter
ASPECTJAR	machines	pyloncraft	page	machine	aspectjar	NODE	Aspect Jar
FARMER	machines	pyloncraft	page	machine	farmer	HARVEST	Elemental Harvester
AUTO	machines	endgame	page	machine	automator		Casting Delegate
MEDISTRIB	machines	multicraft	page	machine	medistributor		ME Item Distributor
WINDOW	machines	multicraft	page	machine	window		Warp Glass
RFDISTRIB	machines	runecraft	page	machine	rfdistributor		Redstone Flux Radiator
PERSONAL	machines	energy	page	machine	personal	CHARGE	Energy Focus
MUSIC	machines	basiccraft	page	machine	music		Crystal Orchestra
PYLONTURBO	machines	endgame	page	machine	pylonturbo	DIMENSION	Energy Focal Point
TURRET	machines	basiccraft	page	machine	turret	KILLMOB	Lumen Turret
BROADCAST	machines	networking	page	machine	broadcast	REPEATER	Lumen Beacon Transmitter
CLOAKING	machines	multicraft	page	machine	cloaking	KILLMOB	Cloaking Beacon
CAVELIGHTER	machines	runecraft	page	machine	lighter	DEEPCAVE	Subterranean Illuminator
GLOWFIRE	machines	energy	page	machine	glowfire	SHARDCHARGE	Transmutation Flame
ESSENTIA	machines	runecraft	page	machine	essentiarelay	NODE	Essentia Relay
INSERTER	machines	runecraft	page	machine	inserter		Item Inserter
LOTUS	machines	runecraft	page	machine	reverter		Reversion Lotus
COBBLEGEN	machines	runecraft	page	machine	cobblegen		Coalescence Orchid
PLANTACCEL	machines	runecraft	page	machine	plantaccel		Enrichment Vine
CROPSPEED	machines	runecraft	page	machine	cropspeed	HARVEST	Fertility Bloom
WEAKREPEATER	machines	energy	page	machine	weakrepeater	PYLON,MAKECHROMA	Lumen Repeater
ENCHANTDECOMP	machines	energy	page	machine	enchantdecomp	MAKECHROMA	Enchantment Decomposer
LUMENWIRE	machines	basiccraft	page	machine	lumenwire		Lumen Wire
PARTICLES	machines	basiccraft	page	machine	particles		Particle Spawner
METEOR	machines	pyloncraft	page	machine	meteor		Meteor Tower Core
FLUIDDISTRIB	machines	runecraft	page	machine	fluiddistributor		Fluid Radiator
VILLAGEREPAIR	machines	multicraft	page	machine	villagerepair	VILLAGECASTING	Village Replenisher
AREABREAKER	machines	multicraft	page	machine	areabreaker		Area Breaker
WIRELESS	machines	multicraft	page	machine	wireless	USEENERGY	Ambient Lumen Distributor
GATE	machines	endgame	page	machine	teleport	END	Transposition Core
FLUIDRELAY	machines	runecraft	page	machine	fluidrelay		Fluid Link Anchor
BOOKDECOMP	machines	energy	page	machine	bookdecomp	MYST	Symbol Extractor
PLANTHARVEST	machines	runecraft	page	machine	harvestplant	HARVEST	Scissorweed
AVOLASER	machines	endgame	page	machine	avolaser		Avolite Defence Beam
ALVEARY	machines	pyloncraft	page	machine	alveary	HIVE	Lumen Alveary Booster
ROUTER	machines	multicraft	page	machine	routerhub		Item Distribution Node
FOCUSCRYSTALS	machines	energy	page	machine	focuscrystal	FOCUSCRYSTAL	Focus Crystals
FLUXMAKER	machines	energy	page	machine	fluxmaker		Lumen Flux Exchanger
FUNCRELAY	machines	runecraft	page	machine	functionrelay		Area Delegation Point
CHROMACRAFTER	machines	pyloncraft	page	machine	chromacrafter	ALLOY	Alloying Tank
MULTIBUILDER	machines	multicraft	page	machine	multibuilder		Construction Mirror
EXPLOSIONSHIELD	machines	pyloncraft	page	machine	explosionshield		Explosion Shield
AURALOCUS	machines	ctm	page	machine	aurapoint		Aura Locus
PROGRESSLINK	machines	basiccraft	page	machine	progresslink		Knowledge Entanglement Pedestal
MANABOOSTER	machines	pyloncraft	page	machine	manabooster		Mana Booster
NETWORKOPT	machines	endgame	page	machine	optimizer		Lumen Clarifier
LANDMARK	machines	basiccraft	page	machine	landmark		Volume Definition Point
INJECTOR	machines	multicraft	page	machine	injector		Casting Stand Insertion Focus
HOVERPAD	machines	runecraft	page	machine	hoverpad		Suspension Field Controller
DEATHFOG	machines	runecraft	page	machine	deathfog	VOIDMONSTER	Vitality Depletion Field
VOIDTRAP	machines	pyloncraft	page	machine	voidtrap	VOIDMONSTERDIE,CHARGECRYSTAL	Distortion Elimination Focus
PLAYERINFUSER	machines	multicraft	page	machine	playerinfuser	INFUSE	Personal Infusion Stand
SMELTERY	machines	runecraft	page	machine	smelterydistributor		Smeltery Casting Distributor
LAUNCHPAD	machines	basiccraft	page	machine	launchpad		Vertical Propulsion Panel
TOOLSTORAGE	machines	basiccraft	page	machine	toolstorage		Tool Compression Crate
BEESTORAGE	machines	runecraft	page	machine	beestorage	HIVE	Genetic Storage Container
NETWORKTRANSPORT	machines	pyloncraft	page	machine	networkitem		Inventory Network Relay
BLOCKS	blocks		parent	block	blocks		Other Blocks
RUNES	blocks	basiccraft	page	block	rune	ALLCOLORS	Crystal Rune
CHROMA	blocks	rawexplore	page	block	chroma		Liquid Chroma
HEATLAMP	blocks	runecraft	page	block	heatlamp	NETHER	Heat Lamp
TNT	blocks	pyloncraft	page	block	tnt		Ender TNT
TANKAUX	blocks	multicraft	page	block	tank		Crystal Tank Block
FENCEAUX	blocks	multicraft	page	block	fence		Lumen Fence Relay
LUMENLEAVES	blocks	endgame	page	block	powertree	POWERCRYSTAL	Lumen Leaves
DYELEAVES	blocks	entry	page	block	dyeleaf	DYETREE	Leaf
RAINBOWLEAVES	blocks	rawexplore	page	block	rainbowleaf	RAINBOWLEAF	Rainbow Leaf
LAMPAUX	blocks	runecraft	page	block	lampblock		Lumen Lamp
CRYSTALLAMP	blocks	rawexplore	page	block	lamp		Crystal Lamp
SUPERLAMP	blocks	pyloncraft	page	block	super	POTION	Potion Crystal
PATH	blocks	runecraft	page	block	path		Travel Path
GLOW	blocks	basiccraft	page	block	glow		Glow
RELAY	blocks	energy	page	block	relay		Lumen Relay
PORTAL	blocks	endgame	page	block	portal	@DIMENSION	Portal Rift
COLORALTAR	blocks	energy	page	block	coloraltar		Crystal Altar
DOOR	blocks	basiccraft	page	block	door		Ethereal Barrier
GLASS	blocks	basiccraft	page	block	glass		Crystal Glass
MUSICTRIGGER	blocks	basiccraft	page	block	musictrigger	ANYSTRUCT	Crystal Music Trigger
SELECTIVEGLASS	blocks	basiccraft	page	block	selectiveglass		Defensive Glass
AVOLAMP	blocks	endgame	page	block	avolamp		Avolite Crystal Lamp
REPEATERLAMP	blocks	networking	page	block	repeaterlamp	REPEATER	Repeater Lamp
REDSTONEPOD	blocks	runecraft	page	block	redstonepod		Redstone Pod
FAKESKY	blocks	runecraft	page	block	fakesky		Artificial Sky
CHUNKLOADER	blocks	endgame	page	block	chunkloader	DIMENSION	Persistence Crystal
LUMA	blocks	rawexplore	page	block	luma	LUMA	Ethereal Luma
ENDER	blocks	rawexplore	page	block	ender		Liquid Ender
TRAPFLOOR	blocks	rawexplore	page	block	trapfloor	SNOWSTRUCT	Mirrorstone
WARPNODE	blocks	rawexplore	page	block	warpnode	WARPNODE	Warp Nexus
RFPOD	blocks	runecraft	page	block	rfpod		Flux Pod
ENCRUSTED	blocks	rawexplore	page	block	encrusted	PYLON	Lumen-Encrusted Crystals
INJECTORAUX	blocks	multicraft	page	block	injectoraux		Casting Stand Insertion Relay
HOVERPADAUX	blocks	runecraft	page	block	pad		Physics Suspension Lamp
TOOLDESC	tools		parent	tool	tooldesc		Tools
WAND	tools	entry	page	tool	tool		Elemental Manipulator
FINDER	tools	basiccraft	page	tool	finder	PYLON	Pylon Compass
EXCAVATOR	tools	energy	page	tool	excavator	MINE	Excavation Star
TRANSITION	tools	energy	page	tool	transition		Transition Star
INVLINK	tools	energy	page	tool	link		Inventory Warp
PENDANT	tools	energy	page	tool	pendant	POTION	Pendant
LENS	tools	energy	page	tool	lens		Tinted Crystal Lens
STORAGE	tools	energy	page	tool	storage	USEENERGY	Energy Storage Crystal
LINKTOOL	tools	runecraft	page	tool	linktool		Linker
WARP	tools	pyloncraft	page	tool	warp		Aura Cleaner
TELEPORT	tools	multicraft	page	tool	teleport		Mobility Star
DUPLICATOR	tools	pyloncraft	page	tool	duplicator		Replication Star
BUILDER	tools	multicraft	page	tool	builder		Construction Star
CAPTURE	tools	multicraft	page	tool	capture	KILLMOB	Capture Star
VOIDCELL	tools	endgame	page	tool	voidcell		Void Cell
AURAPOUCH	tools	multicraft	page	tool	aurapouch		Aura Pouch
MULTITOOL	tools	runecraft	page	tool	multitool	MINE	Multitool
OREPICK	tools	runecraft	page	tool	orepick	MINE	Ore-Finding Pickaxe
ORESILK	tools	runecraft	page	tool	oresilk	MINE	Ore Harvester
GROWTH	tools	multicraft	page	tool	growth	HARVEST	Growth Star
ENDERCRYS	tools	endgame	page	tool	endercrystal	END	Ender Crystal
BULKMOVER	tools	runecraft	page	tool	bulkmover		Item Mover
CHAINGUN	tools	multicraft	page	tool	chaingun	KILLMOB	Chain Gun
HOVER	tools	pyloncraft	page	tool	hoverwand	KILLMOB	Hover Star
SPLASH	tools	multicraft	page	tool	splashgun	KILLMOB	Splash Gun
VACUUMGUN	tools	endgame	page	tool	vacuumgun	DIMENSION	Vacuum Gun
DOORKEY	tools	basiccraft	page	tool	key		Ethereal Key
OWNERKEY	tools	basiccraft	page	tool	share		Ownership Expansion Key
CRYSTALCELL	tools	multicraft	page	tool	crystalcell	CHARGE	Crystal Cell
PURIFY	tools	endgame	page	tool	purify	RAINBOWLEAF,ALLOY	Aura Purification Gem
EFFICIENCY	tools	ctm	page	tool	efficiency		Anti-Attenuation Gem
KILLAURA	tools	endgame	page	tool	killauragun	KILLMOB	Discharge Gun
FLOATBOOTS	tools	endgame	page	tool	floatboots	DIMENSION	Floatstone Boots
TELECAPSULE	tools	runecraft	page	tool	warpcapsule	DEEPCAVE	Recall Tablet
